Hash_Key1      Hash_Key2      Size
40             33             1872           
40             34             2400           
40             35             2961           
40             36             1911           
40             37             2458           
40             38             3124           
40             39             3827           
41             0              0              
41             1              0              
41             2              0              
41             3              1              
41             4              4              
41             5              10             
41             6              20             
41             7              35             
41             8              56             
41             9              84             
41             10             120            
41             11             165            
41             12             156            
41             13             223            
41             14             300            
41             15             391            
41             16             304            
41             17             428            
41             18             560            
41             19             713            
41             20             500            
41             21             700            
41             22             900            
41             23             1131           
41             24             744            
41             25             1040           
41             26             1320           
41             27             1645           
41             28             1036           
41             29             1449           
41             30             1820           
41             31             2255           
41             32             1376           
41             33             1928           
41             34             2400           
41             35             2961           
41             36             1828           
41             37             2541           
41             38             3124           
41             39             3827           
41             40             9880           
42             0              0              
42             1              0              
42             2              0              
42             3              1              
42             4              4              
42             5              10             
42             6              20             
42             7              35             
42             8              56             
42             9              84             
42             10             120            
42             11             165            
42             12             156            
42             13             222            
42             14             301            
42             15             391            
42             16             304            
42             17             424            
42             18             564            
42             19             713            
42             20             500            
42             21             690            
42             22             910            
42             23             1131           
42             24             744            
42             25             1020           
42             26             1340           
42             27             1645           
42             28             1036           
42             29             1414           
42             30             1855           
42             31             2255           
42             32             1376           
42             33             1872           
42             34             2456           
42             35             2961           
42             36             1828           
42             37             2458           
42             38             3207           
42             39             3827           
42             40             9880           
42             41             10660          
43             0              0              
43             1              0              
43             2              0              
43             3              1              
43             4              4              
43             5              10             
43             6              20             
43             7              35             
43             8              56             
43             9              84             
43             10             120            
43             11             165            
43             12             156            
43             13             222            
43             14             300            
43             15             392            
43             16             304            
43             17             424            
43             18             560            
43             19             717            
43             20             500            
43             21             690            
43             22             900            
43             23             1141           
43             24             744            
43             25             1020           
43             26             1320           
43             27             1665           
43             28             1036           
43             29             1414           
43             30             1820           
43             31             2290           
43             32             1376           
43             33             1872           
43             34             2400           
43             35             3017           
43             36             1828           
43             37             2458           
43             38             3124           
43             39             3910           
43             40             9880           
43             41             10660          
43             42             11480          
44             0              0              
44             1              0              
44             2              0              
44             3              1              
44             4              4              
44             5              10             
44             6              20             
44             7              35             
44             8              56             
44             9              84             
44             10             120            
44             11             165            
44             12             157            
44             13             222            
44             14             300            
44             15             391            
44             16             308            
